attribute,value,coding
class,no-recurrence-events,1
class,recurrence-events,2
age,'10-19,10.19
age,20-29,20.29
age,30-39,30.39
age,40-49,40.49
age,50-59,50.59
age,60-69,60.69
age,70-79,70.79
age,80-89,80.89
age,90-99,90.99
menopause,lt40,1
menopause,ge40,2
menopause,premeno,3
tumor-size,0-4,0.4
tumor-size,'5-9,5.9
tumor-size,'10-14,10.14
tumor-size,15-19,15.19
tumor-size,20-24,20.24
tumor-size,25-29,25.29
tumor-size,30-34,30.34
tumor-size,35-39,35.39
tumor-size,40-44,40.44
tumor-size,45-49,45.49
tumor-size,50-54,50.54
tumor-size,55-59,55.59
inv-nodes,0-2,0.2
inv-nodes,'3-5,3.5
inv-nodes,'6-8,6.8
inv-nodes,'9-11,9.11
inv-nodes,'12-14,12.14
inv-nodes,15-17,15.17
inv-nodes,18-20,18.20
inv-nodes,21-23,21.23
inv-nodes,24-26,24.26
inv-nodes,27-29,27.29
inv-nodes,30-32,30.32
inv-nodes,33-35,33.35
inv-nodes,36-39,36.39
node-caps,yes,1
node-caps,no,0
deg-malig,1,1
deg-malig,2,2
deg-malig,3,3
breast,left,1
breast,right,2
breast-quad,left_up,1
breast-quad,left_low,2
breast-quad,right_up,3
breast-quad,right_low,4
breast-quad,central,5
irradiant,yes,1
irradiant,no,0
